abide abided/abode abided/abidden abiding
swear swore sworn swearing
forswear forswore forsworn forswearing
outswear outswore outsworn outswearing
sweat sweat/sweated sweat/sweated sweating
sweep swept swept sweeping
swell swelled/swoll swelled/swollen swelling
swelt swolt/swelted swolten/swelted swelting
swim swam swum swimming
swing swang/swung swung/swungen swinging
overswing overswung overswung overswinging
take took taken taking
overtake overtook overtaken overtaking
partake partook partaken partaking
retake retook retaken retaking
undertake undertook undertaken undertaking
teach taught taught teaching
tear tore torn tearing
tell told told telling
foretell foretold foretold foretelling
retell retold retold retelling
outtellreference needed outtold outtellreferencing
think thought thought thinking
outthink outthought outthought outthinking
rethink rethought rethought rethinking
thrive thrived/throve thrived/thriven thriving
throw threw thrown throwing
outthrow outthrew outthrown outthrowing
thrust thrust/thrusted thrust/thrusted thrusting
outthrust outthrust outthrust outthrusting
tread trod trodden/trod treading
retread retrod retrodden/retrod retreading
unwind unwound unwound unwinding
uphold upheld upheld/upholden upholding
wake woke woken waking
wax waxed waxed/waxen waxing
wear wore worn wearing
weave weaved/wove woven weaving
interweave interwove interwoven interweaving
wed wed/wedded wed/wedded wedding
weep wept wept weeping
wend wended/went wended/went wending
wet wet/wetted wet/wetted wetting
will would/willed willed willing
win won won winning
wind wound wound winding
withdraw withdrew withdrawn withdrawing
withhold withheld withheld/withholden withholding
work worked/wrought worked/wrought working
overwork overworked overworked/overwrought overworking
worth worth worth/worthen 
wreak wreaked/wroke wreaked/wreaken/wroken wreaking
wring wrang/wrung wrung wringing
write wrote/writ written writing
miswrite miswrote miswritten miswriting
overwrite overwrote overwritten overwriting
underwrite underwrote underwritten underwriting
writhe writhed/wrothe writhed/writhen writhing
